Number,title,artist,altered genre,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,decade
20,Dancing On My Own,Calum Scott,pop,pop,1988,30,2018,113,17,68,-9,10,24,260,84,3,83,2010
21,New Rules,Dua Lipa,dance pop,dance pop,1995,22,2017,116,70,76,-6,15,61,209,0,7,83,2010
22,Treat You Better,Shawn Mendes,pop,canadian pop,1998,19,2017,83,82,44,-4,11,75,188,11,34,83,2010
23,Something Just Like This,The Chainsmokers,electronic,electropop,1987,30,2017,103,64,62,-7,16,45,247,5,3,83,2010
24,Happier,Ed Sheeran,pop,pop,1991,26,2017,90,39,52,-7,14,24,208,54,3,82,2010
25,Attention,Charlie Puth,dance pop,dance pop,1991,27,2018,100,61,78,-5,13,80,209,11,5,82,2010
26,IDGAF,Dua Lipa,dance pop,dance pop,1995,22,2017,97,54,84,-6,8,51,218,4,9,82,2010
27,There's Nothing Holdin' Me Back,Shawn Mendes,pop,canadian pop,1998,19,2017,122,81,87,-4,8,97,199,38,6,82,2010
28,Scared to Be Lonely,Martin Garrix,electronic,big room,1996,21,2017,138,54,58,-8,26,20,221,9,6,81,2010
29,Whatever It Takes,Imagine Dragons,rock,modern rock,1987,30,2017,135,66,67,-5,12,56,201,4,3,81,2010
30,Let Me Love You,DJ Snake,electronic,electronic trap,1986,30,2016,100,72,65,-5,14,16,206,9,3,81,2010
31,i hate u i love u (feat. olivia o'brien),gnash,pop,pop,1993,23,2016,93,28,49,-13,10,18,251,69,30,81,2010
32,Silence,Marshmello,electronic,brostep,1992,25,2017,142,76,52,-3,17,29,181,26,9,80,2010
33,The Nights,Avicii,electronic,big room,1989,25,2014,126,84,53,-5,25,65,177,2,4,80,2010
34,Without You (feat. Sandro Cavazza),Avicii,electronic,big room,1989,28,2017,134,86,66,-5,5,30,182,0,4,80,2010
35,In the Name of Love,Martin Garrix,electronic,big room,1996,20,2016,134,52,50,-6,45,17,196,11,4,80,2010
36,Faded,Alan Walker,electronic,electro house,1997,21,2018,180,63,47,-5,11,16,212,3,5,80,2010
37,Story of My Life,One Direction,pop,boy band,1993,20,2013,121,66,60,-6,12,29,245,23,5,80,2010
38,Solo (feat. Demi Lovato),Clean Bandit,dance pop,dance pop,1988,30,2018,105,64,74,-5,35,56,223,4,4,79,2010
39,Love Lies (with Normani),Khalid,r&b,alternative r&b,1998,20,2018,144,65,71,-6,13,34,202,10,4,79,2010
40,Little Do You Know,Alex & Sierra,neo mellow,neo mellow,1991,23,2014,146,29,50,-9,19,37,185,75,3,79,2010
41,Mercy,Shawn Mendes,pop,canadian pop,1998,19,2017,148,66,56,-5,11,36,209,13,8,79,2010
42,Exchange,Bryson Tiller,pop,pop,1993,22,2015,160,43,53,-11,14,27,195,11,19,79,2010
43,One Last Time,Ariana Grande,dance pop,dance pop,1993,21,2014,125,59,63,-5,10,10,197,9,3,79,2010
44,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,hip hop,atl hip hop,1978,32,2010,120,86,66,-3,8,65,221,3,11,78,2010
45,Give Me Everything,Pitbull,dance pop,dance pop,1981,30,2011,129,94,67,-3,30,53,252,19,16,78,2010
46,Waiting For Love,Avicii,electronic,big room,1989,26,2015,128,74,58,-4,20,61,231,31,5,78,2010
47,Stay,Zedd,electronic,complextro,1989,28,2017,102,62,69,-5,12,54,210,25,6,78,2010
48,It Ain't Me (with Selena Gomez),Kygo,electronic,edm,1991,26,2017,100,53,64,-7,9,52,221,12,7,78,2010
49,Hall of Fame,The Script,rock,celtic rock,1978,34,2012,85,87,42,-4,12,63,203,7,6,78,2010
50,Payphone,Maroon 5,pop,pop,1979,33,2012,110,75,74,-5,29,55,231,2,4,78,2010
51,PILLOWTALK,ZAYN,dance pop,dance pop,1993,23,2016,125,70,58,-4,9,44,203,12,5,78,2010
52,All I Want,Kodaline,pop,irish pop,1989,24,2013,86,41,21,-10,8,16,306,17,4,78,2010
53,Youngblood,5 Seconds of Summer,pop,boy band,1995,23,2018,120,85,60,-5,12,15,203,2,46,77,2010
54,Symphony (feat. Zara Larsson),Clean Bandit,dance pop,dance pop,1988,29,2017,123,63,71,-5,14,46,212,26,6,77,2010
55,Unsteady,X Ambassadors,pop,indie poptimism,1988,27,2015,117,67,39,-6,12,20,194,18,6,77,2010
56,Classic,MKTO,dance pop,dance pop,1992,20,2012,102,79,72,-5,16,76,175,4,12,77,2010
57,Time of Our Lives,Pitbull,dance pop,dance pop,1981,33,2014,124,80,72,-6,69,72,229,9,6,77,2010
58,Please Don't Go,Joel Adams,pop,australian pop,1996,19,2015,84,77,51,-5,29,24,211,1,6,76,2010
59,When You Love Someone,James TW,neo mellow,neo mellow,1997,22,2019,126,45,68,-6,5,35,217,26,3,76,2010
60,I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,dance pop,1993,23,2016,118,45,74,-8,33,9,245,6,6,76,2010
61,Perfect Strangers,Jonas Blue,dance pop,dance pop,1989,29,2018,118,86,73,-4,21,70,197,39,5,76,2010
62,Friends (with BloodPopÂ®),Justin Bieber,pop,canadian pop,1994,23,2017,105,73,74,-5,30,62,189,0,4,75,2010
63,September Song,JP Cooper,dance pop,dance pop,1983,34,2017,96,62,61,-7,9,37,220,5,4,75,2010
64,Never Forget You,Zara Larsson,dance pop,dance pop,1997,20,2017,146,73,58,-6,27,28,213,0,5,75,2010
65,Say You Won't Let Go,James Arthur,pop,pop,1988,28,2016,99,56,40,-7,9,48,211,69,5,75,2010
66,Airplanes (feat. Hayley Williams),B.o.B,hip hop,atl hip hop,1988,22,2010,93,87,66,-4,4,38,180,11,12,75,2010
67,Whistle,Flo Rida,dance pop,dance pop,1979,33,2012,104,94,75,-6,29,74,225,2,5,75,2010
68,Do It Again,Pia Mia,dance pop,dance pop,1996,19,2015,96,56,71,-7,9,41,208,3,5,74,2010
69,Paris,The Chainsmokers,electronic,electropop,1987,30,2017,100,64,65,-7,9,25,222,2,3,74,2010
70,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,dance pop,dance pop,1995,20,2015,95,52,69,-6,11,18,230,12,13,74,2010
71,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,dance pop,1984,33,2017,104,80,74,-3,25,51,231,50,5,74,2010
72,No Promises (feat. Demi Lovato),Cheat Codes,dance pop,dance pop,1992,25,2017,113,67,74,-5,11,60,224,6,13,73,2010
73,The Ocean (feat. Shy Martin),Mike Perry,pop,big room,1983,33,2016,90,57,63,-6,10,19,183,2,3,73,2010
74,Capsize,FRENSHIP,electronic,electropop,1989,27,2016,93,71,68,-6,69,36,238,4,3,72,2010
75,As Long As You Love Me,Justin Bieber,pop,canadian pop,1994,18,2012,140,87,57,-3,36,61,229,8,10,72,2010
76,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,dance pop,dance pop,1998,19,2017,121,87,70,-5,10,73,194,15,3,71,2010
77,2U (feat. Justin Bieber),David Guetta,dance pop,dance pop,1967,50,2017,145,65,55,-6,23,56,195,22,6,71,2010
78,Strip That Down (feat. Quavo),Liam Payne,dance pop,dance pop,1993,26,2019,106,50,87,-5,8,55,202,20,5,71,2010
79,Wildest Dreams,Taylor Swift,dance pop,dance pop,1989,25,2014,140,66,55,-7,11,47,220,7,7,71,2010
80,Sun Is Shining,Axwell /\ Ingrosso,electronic,big room,1980,37,2017,132,76,47,-3,7,38,255,9,5,71,2010
81,Solo Dance,Martin Jensen,electronic,big room,1991,25,2016,115,85,75,-2,20,40,175,5,5,70,2010
82,Alone,Alan Walker,electronic,electro house,1997,19,2016,97,93,68,-3,12,16,161,19,5,70,2010
83,You Don't Know Me (feat. RAYE),Jax Jones,dance pop,dance pop,1987,32,2019,124,67,88,-6,32,67,213,16,14,70,2010
84,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,dance pop,1986,26,2012,146,93,63,-4,10,88,258,3,8,70,2010
85,Hurts So Good,Astrid S,dance pop,dance pop,1996,20,2016,120,63,67,-5,9,42,209,8,5,69,2010
86,Five More Hours - Deorro x Chris Brown,Deorro,electronic,big room,1991,26,2017,128,88,70,-3,82,50,212,3,22,69,2010
87,She Looks So Perfect,5 Seconds of Summer,pop,boy band,1995,19,2014,160,95,49,-4,33,44,202,0,13,69,2010
88,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,dance pop,dance pop,1967,45,2012,130,88,67,-3,26,55,195,6,4,69,2010
89,Mama,Jonas Blue,dance pop,dance pop,1989,28,2017,104,79,74,-4,5,54,184,10,4,68,2010
90,Don't Leave,Snakehips,dance pop,dance pop,1995,22,2017,122,70,66,-3,26,34,215,22,8,68,2010
91,Drag Me Down,One Direction,pop,boy band,1993,22,2015,138,71,72,-6,5,61,192,10,4,68,2010
92,The One That Got Away,Katy Perry,dance pop,dance pop,1984,26,2010,134,80,69,-4,16,88,227,0,4,66,2010
93,Shed a Light,Robin Schulz,dance pop,dance pop,1987,29,2016,122,79,48,-5,26,58,191,11,10,65,2010
94,Sex,Cheat Codes,dance pop,dance pop,1992,24,2016,105,69,60,-6,13,19,228,0,16,60,2010
95,Call on Me - Ryan Riback Remix,Starley,electronic,aussietronica,1987,29,2016,105,84,67,-4,16,72,222,6,4,58,2010
96,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,dance pop,1997,14,2011,90,80,65,-3,27,80,211,3,10,56,2010
97,Dynamite,Taio Cruz,dance pop,dance pop,1980,31,2011,120,79,76,-4,3,87,203,0,8,56,2010
98,Break Your Heart,Taio Cruz,dance pop,dance pop,1980,31,2011,122,89,67,-5,24,68,185,0,3,54,2010
99,Summer Air,ItaloBrothers,dance pop,dance pop,1987,30,2017,102,75,76,-4,8,49,184,6,7,43,2010
100,All I Wanna Do,Martin Jensen,pop,big room,1991,25,2016,112,79,73,-4,7,56,194,16,7,32,2010
