Number,title,artist,altered genre,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,decade
75,Boulder to Birmingham - Remastered,Emmylou Harris,rock,country rock,1947,28,1975,126,32,48,-11,10,31,213,78,3,59,1970
76,S.O.S.,ABBA,pop,europop,1946.5,28.5,1975,125,71,42,-6,29,58,202,25,3,59,1970
77,Now That We Found Love,The O'Jays,soul,classic soul,1940.5,32.5,1973,114,65,72,-8,27,96,281,25,4,59,1970
78,Fire on the Mountain,The Marshall Tucker Band,rock,album rock,1946.5,28.5,1975,102,83,51,-6,16,57,236,11,4,58,1970
79,Lost in Music,Sister Sledge,dance pop,dance pop,1957.5,21.5,1979,114,84,76,-8,10,85,287,5,3,58,1970
80,You Make Me Feel Like Dancing,Leo Sayer,adult standards,adult standards,1948,28,1976,96,73,73,-5,11,71,221,8,5,57,1970
81,The Boss,Diana Ross,adult standards,adult standards,1944,35,1979,124,91,64,-4,21,83,241,24,5,57,1970
82,Come and Get Your Love,Redbone,soul,native american,1942.25,31.75,1974,106,79,67,-6,8,85,300,13,5,56,1970
83,Moviestar,Harpo,pop,classic uk pop,1950,26,1976,119,79,55,-8,33,71,202,29,3,56,1970
84,Easy Livin',Uriah Heep,rock,album rock,1948.33,23.67,1972,161,84,26,-7,28,46,157,0,10,56,1970
85,Three Times A Lady,Commodores,adult standards,adult standards,1948.75,29.25,1978,151,13,37,-17,14,20,215,94,3,56,1970
86,Living Next Door to Alice,Smokie,pop,classic uk pop,1951.5,23.5,1975,126,40,59,-15,25,78,208,11,4,56,1970
87,Dancing In The Moonlight,King Harvest,rock,soft rock,1947,26,1973,136,72,65,-5,41,68,178,68,4,56,1970
88,You Are Everything,Diana Ross,adult standards,adult standards,1944,29,1973,150,53,52,-10,14,50,190,3,5,56,1970
89,I Want You,Marvin Gaye,soul,classic soul,1939,37,1976,101,79,52,-10,24,74,274,85,3,56,1970
90,Love Comes To Everyone - 2004 Mix,George Harrison,rock,album rock,1943,36,1979,107,68,72,-9,5,51,276,7,4,55,1970
91,Rock Your Baby,George McCrae,disco,disco,1944,30,1974,104,77,59,-11,7,95,201,31,4,55,1970
92,The Shape I'm In - Remastered 2000,The Band,rock,album rock,1941.2,28.8,1970,128,67,72,-8,30,96,241,24,4,54,1970
93,Midnight Train to Georgia - Short Version,Gladys Knight & The Pips,adult standards,adult standards,1944,29,1973,177,42,44,-10,19,39,199,7,8,53,1970
94,Daddy Cool,Boney M.,disco,disco,1950,26,1976,125,63,75,-12,23,96,206,25,4,53,1970
95,Sad Eyes - Remastered,Robert John,rock,soft rock,1946,33,1979,107,46,43,-7,13,69,253,60,3,53,1970
96,I Feel Love - Edit,Donna Summer,dance pop,dance pop,1948,29,1977,126,91,66,-9,8,94,227,3,4,52,1970
97,Just Got Paid,ZZ Top,rock,album rock,1949,23,1972,100,69,57,-11,12,63,267,29,4,52,1970
98,Killer Queen - 2011 Mix,Queen,rock,glam rock,1948,26,1974,117,65,54,-6,13,61,180,39,5,51,1970
99,I'd Really Love to See You Tonight - 2012 Collection Remaster,England Dan,adult standards,adult standards,1948,28,1976,119,77,58,-5,17,67,158,20,3,50,1970
100,I Got Lucky,Elvis Presley,adult standards,adult standards,1935,36,1971,93,39,73,-12,20,96,116,84,4,49,1970
101,Baretta's Theme,Sammy Davis Jr.,adult standards,adult standards,1925,51,1976,105,91,64,-8,28,69,146,35,6,48,1970
102,One of These Days,Emmylou Harris,rock,country rock,1947,28,1975,125,39,66,-9,12,68,184,45,3,46,1970
103,My Heart Belongs to Me,Barbra Streisand,adult standards,adult standards,1942,35,1977,139,21,27,-16,18,30,201,74,3,44,1970
104,Telegram Sam,T. Rex,rock,album rock,1946.25,25.75,1972,123,94,52,-4,9,44,226,2,12,40,1970
101,Cold as Ice - 2008 Remaster,Foreigner,rock,album rock,1946.666667,30.33333333,1977,131,71,55,-5,14,51,200,6,3,57,1970
71,I Will Always Love You - Film Version,Dolly Parton,dance pop,dance pop,1946,28,1974,133,28,34,-10,10,12,275,61,4,57,1970
1,Livin' On A Prayer,Bon Jovi,metal,glam metal,1959,27,1986,123,89,53,-4,29,80,249,8,3,83,1980
2,Africa,TOTO,rock,album rock,1953,29,1982,93,37,67,-18,5,73,296,26,3,83,1980
3,Another One Bites The Dust - Remastered 2011,Queen,rock,glam rock,1948,32,1980,110,53,93,-6,16,75,215,11,16,82,1980
4,Break My Stride,Matthew Wilder,pop,new wave pop,1953,30,1983,110,59,92,-11,9,83,184,20,6,81,1980
5,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,dance pop,1963,24,1987,119,82,71,-9,9,87,291,21,5,80,1980
6,Summer Of '69,Bryan Adams,rock,album rock,1959,25,1984,139,83,51,-6,7,77,216,2,4,80,1980
7,You Give Love A Bad Name,Bon Jovi,metal,glam metal,1959,27,1986,123,96,54,-3,34,81,223,7,5,80,1980
8,Everybody Wants To Rule The World,Tears For Fears,rock,dance rock,1958,27,1985,112,80,65,-12,10,54,251,35,5,80,1980
9,I'm Still Standing,Elton John,rock,glam rock,1947,36,1983,177,90,50,-7,14,77,183,36,18,79,1980
10,Uptown Girl,Billy Joel,rock,album rock,1949,34,1983,129,94,70,-3,60,79,198,7,5,77,1980
