Number,title,artist,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
54,Numb / Encore,JAY-Z,east coast hip hop,1969,35,2004,107,80,69,-4,55,80,205,6,16,71
55,Hate That I Love You,Rihanna,barbadian pop,1972,36,2008,94,73,64,-5,10,73,219,32,9,71
56,Lollipop,Lil Wayne,hip hop,1982,26,2008,148,43,83,-9,14,45,299,6,8,71
57,Rockstar,Nickelback,alternative metal,1974,31,2005,144,91,62,-3,34,69,252,5,4,71
58,I Wanna Love You,Akon,dance pop,1973,33,2006,100,45,87,-9,31,35,247,4,4,70
59,Crush,David Archuleta,dance pop,1990,18,2008,162,66,57,-5,7,49,214,1,3,70
60,Apologize,Timbaland,dance pop,1972,35,2007,118,60,66,-6,10,8,184,4,3,70
61,7 Days,Craig David,british soul,1981,20,2001,83,81,66,-7,10,89,235,23,5,70
62,Broken Strings,James Morrison,neo mellow,1984,24,2008,112,72,57,-5,8,32,250,1,3,70
63,Bleeding Love,Leona Lewis,british soul,1985,22,2007,104,65,64,-6,15,20,263,19,4,70
64,In My Head,Jason Derulo,dance pop,1989,21,2010,110,75,76,-4,35,85,199,3,3,69
65,Ridin',Chamillionaire,dirty south rap,1979,26,2005,143,80,79,-5,30,84,303,19,10,69
66,Hot N Cold,Katy Perry,dance pop,1984,24,2008,132,84,71,-4,7,86,220,0,4,69
67,Breakeven,The Script,celtic rock,1980,28,2008,94,70,63,-5,8,49,261,14,2,68
68,Snap Yo Fingers,Youngbloodz,atl hip hop,1977.5,28.5,2006,82,76,84,-5,29,63,274,1,23,68
69,Boom Boom Pow,The Black Eyed Peas,dance pop,1974,35,2009,130,86,87,-6,13,40,251,13,7,68
70,Lady - Hear Me Tonight,Modjo,disco house,1977,24,2001,126,81,72,-6,6,87,307,1,4,68
71,Superstar,Jamelia,europop,1981,22,2003,110,65,80,-7,4,82,215,5,4,67
72,Love Lockdown,Kanye West,chicago rap,1977,31,2008,120,52,76,-8,11,11,270,5,3,67
73,The Tide Is High - Radio Mix,Atomic Kitten,bubblegum dance,1981,22,2003,103,69,78,-3,3,64,205,2,3,66
74,Release Me,Agnes,dance pop,1988,21,2009,128,92,62,-3,11,72,256,1,3,65
75,About You Now,Sugababes,bubblegum dance,1985,22,2007,82,70,58,-6,49,59,212,0,4,65
76,Pjanoo - Radio Edit,Eric Prydz,big room,1976,32,2008,126,87,60,-5,11,84,157,0,3,65
77,Let It Rock,Kevin Rudolf,dance pop,1983,25,2008,113,78,61,-4,7,44,231,0,4,65
78,Everytime We Touch - Radio Edit,Cascada,bubblegum dance,1986.3,24.7,2011,142,98,64,-5,37,49,199,0,6,64
79,Lean Back,Terror Squad,bronx hip hop,1974.5,29.5,2004,127,92,80,-3,7,70,247,11,47,64
80,TiK ToK,Kesha,dance pop,1987,27,2014,120,67,75,-7,28,63,200,6,12,63
81,All Rise,Blue,boy band,1979.5,21.5,2001,98,74,72,-3,17,93,224,12,3,63
82,Fergalicious,Fergie,dance pop,1975,31,2006,129,58,91,-8,13,83,292,6,32,63
83,Something,Lasgo,belgian dance,1971,30,2001,140,98,64,-7,11,38,221,3,4,63
84,When Love Takes Over (feat. Kelly Rowland),David Guetta,dance pop,1967,42,2009,130,86,66,-5,20,50,189,1,3,63
85,Anyone Of Us (Stupid Mistake),Gareth Gates,europop,1984,18,2002,107,72,70,-6,8,65,228,28,3,61
86,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,dance pop,1989,17,2006,100,42,62,-7,12,29,203,29,2,61
87,Thank God I Found You,Mariah Carey,dance pop,1970,29,1999,130,53,47,-6,11,15,257,59,3,61
88,Sexy Bitch (feat. Akon) - Extended,David Guetta,dance pop,1967,42,2009,130,30,96,-6,8,80,312,2,13,60
89,Cooler Than Me - Single Mix,Mike Posner,dance pop,1988,22,2010,130,82,75,-5,69,65,213,15,6,60
90,Bump Bump Bump,B2K,boy band,1985,18,2003,96,68,84,-6,5,89,283,10,21,60
91,Beautiful Girls,Sean Kingston,dance pop,1990,24,2014,118,64,54,-7,24,75,242,14,9,60
92,I Know You Want Me (Calle Ocho),Pitbull,dance pop,1981,28,2009,127,74,82,-6,24,80,237,1,14,60
93,Leave The World Behind - Radio Edit,Axwell,big room,1977,32,2009,128,85,53,-8,32,28,162,0,5,58
94,D̩senchant̩e - Radio Edit,Kate Ryan,belgian pop,1980,28,2008,140,94,52,-5,23,29,221,17,7,57
95,Moving too fast - Radio Edit,Artful Dodger,uk garage,1972,40,2012,127,51,84,-11,3,52,238,9,5,57
96,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,east coast hip hop,1972,30,2002,86,75,56,-4,64,49,324,1,32,56
97,Knock You Down,Keri Hilson,dance pop,1982,27,2009,155,88,59,-5,17,65,326,1,16,56
98,Dragostea Din Tei - Italian Version,O-Zone,bubblegum dance,1980,30,2010,130,89,67,-6,10,80,215,4,3,44
99,What A Girl Wants - Eddie Arroyo Dance Radio Edit,Christina Aguilera,dance pop,1980,19,1999,130,92,75,-7,7,66,244,1,3,40
100,Material Girl,Madonna,dance pop,1958,51,2009,137,88,74,-3,10,98,240,33,3,72
101,Impossible - Main,Shontelle,barbadian pop,1985,34,2019,90,57,59,-5,11,51,226,44,4,32
22,Sandstorm,Darude,eurodance,1975,25,2000,136,97,53,-8,8,59,225,14,5,70
57,It's Gonna Be Me,*NSYNC,boy band,1976.8,23.2,2000,165,87,64,-5,6,88,191,5,8,62
3,It Wasn't Me,Shaggy,dance pop,1968,32,2000,95,61,85,-5,31,65,228,6,7,76
