Number,title,artist,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
30,Friday On My Mind,The Easybeats,australian rock,1946,19,1965,95,99,37,-1,9,51,163,38,8,59
31,Today,Jefferson Airplane,art rock,1948,19,1967,90,31,51,-14,13,29,178,70,3,59
32,Always See Your Face,Love,art rock,1946,23,1969,110,58,57,-13,6,92,209,38,3,58
33,Astral Weeks - 1999 Remaster,Van Morrison,classic rock,1945,23,1968,81,35,45,-15,14,61,426,54,3,58
34,Both Sides Now,Joni Mitchell,canadian folk,1943,26,1969,97,16,62,-15,14,33,275,91,3,58
35,Tous les garçons et les filles - Slow,Françoise Hardy,chanson,1944,18,1962,108,37,74,-10,14,89,188,81,3,57
37,Needles and Pins - Mono,The Searchers,adult standards,1940,24,1964,124,95,56,-7,6,89,131,5,4,56
38,Little Bit Of Rain,Karen Dalton,alternative country,1937,32,1969,174,6,43,-22,10,36,157,93,4,56
39,Young Girl,Gary Puckett & The Union Gap,adult standards,1942,26,1968,119,54,41,-8,51,45,194,65,3,56
40,Leaving Trunk,Taj Mahal,acoustic blues,1942,26,1968,174,50,54,-11,17,95,290,20,5,55
41,Dream A Little Dream Of Me,Ella Fitzgerald,adult standards,1917,46,1963,72,7,28,-24,11,22,246,93,8,54
42,The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime),Scott Walker,art pop,1943,26,1969,91,45,42,-16,16,78,221,58,4,54
43,Pictures of Matchstick Men - Mono Version,Status Quo,album rock,1948,20,1968,173,60,24,-4,5,42,191,7,3,54
45,I'm Gonna Make You Love Me,Diana Ross & The Supremes,classic girl group,1943,25,1968,98,39,64,-12,26,43,187,39,4,54
48,You Ain't Goin' Nowhere,The Byrds,art rock,1943,25,1968,132,43,51,-14,76,70,153,11,4,53
49,Everybody Knows This Is Nowhere - 2009 Remaster,Neil Young,album rock,1945,24,1969,158,64,52,-9,42,85,149,2,3,52
50,Everybody Needs Somebody To Love - Long Version,The Rolling Stones,album rock,1943,22,1965,178,73,53,-8,11,80,303,26,7,52
54,Itchycoo Park (Mono Version) - 2012 Remaster,Small Faces,art rock,1947,20,1967,127,56,61,-10,12,56,167,58,7,51
61,I Walk on Guilded Splinters,Dr. John,blues,1941,27,1968,90,29,65,-19,9,71,466,56,8,48
62,Goin' Back,The Byrds,art rock,1943,25,1968,116,45,50,-10,12,55,206,36,3,47
63,Isfahan,Duke Ellington,adult standards,1899,68,1967,173,7,25,-14,10,9,246,98,3,47
64,Hot Burrito #1,The Flying Burrito Brothers,alternative country,1943,26,1969,157,43,40,-13,17,35,217,1,3,46
65,Over Under Sideways Down - The Mono Album,The Yardbirds,album rock,1944,22,1966,97,86,53,-11,31,39,143,29,8,46
68,She'd Rather Be With Me,The Turtles,brill building pop,1946,21,1967,124,78,49,-11,15,94,142,27,3,46
70,Locomotive,Thelonious Monk,bebop,1917,50,1967,112,44,67,-11,13,70,400,78,4,46
72,Telstar,The Tornados,british invasion,1940,22,1962,146,75,20,-7,38,63,195,0,4,45
73,So Much In Love,The Tymes,beach music,1938,25,1963,76,49,55,-10,45,44,140,79,3,45
75,Trouble Every Day,Frank Zappa,album rock,1940,26,1966,121,78,31,-13,90,48,350,51,8,44
77,The Game Of Love,Wayne Fontana & The Mindbenders,british invasion,1945,19,1964,109,83,57,-4,19,96,127,9,3,43
78,Ringo,Lorne Greene,cowboy western,1915,49,1964,111,52,56,-13,22,65,214,86,31,43
79,Black Christ of the Andes (St. Martin de Porres),Mary Lou Williams,bebop,1910,54,1964,89,7,20,-20,13,6,400,98,3,42
80,Sheila,Tommy Roe,adult standards,1942,20,1962,136,57,42,-9,6,48,127,28,11,42
82,Barabajagal (with Jeff Beck Group),Donovan,art rock,1946,23,1969,100,57,67,-17,8,68,200,10,7,42
83,On The Sunny Side Of The Ocean,John Fahey,drone folk,1939,26,1965,116,73,48,-10,16,48,193,81,3,41
85,Mr. Soul,Buffalo Springfield,blues rock,1944,25,1969,135,55,67,-13,4,96,172,10,3,41
86,My Spiritual Indian,Eddie Palmieri,boogaloo,1936,33,1969,121,92,48,-6,7,50,400,58,8,41
87,Myself When I Am Real,Charles Mingus,avant-garde jazz,1922,41,1963,81,19,32,-17,8,10,456,99,4,41
89,Cry Like a Baby,The Box Tops,brill building pop,1948,20,1968,133,47,67,-12,50,77,152,34,3,40
91,Lovely Sky Boat,Alice Coltrane,afropop,1937,31,1968,119,43,34,-17,19,44,411,45,5,38
92,The Ballad of Bonnie & Clyde,Georgie Fame,british blues,1943,25,1968,107,47,71,-10,25,74,190,71,9,38
95,Live Wire,The Meters,afrobeat,1945,24,1969,114,77,68,-12,17,96,160,27,4,36
